year,average_high,average_low,average_temperature
1940,59.94,43.42,51.24
1941,62.95,45.18,53.46
1942,61.93,45.59,53.24
1943,61.69,44.16,52.38
1944,62.08,45.17,53.08
1945,62.04,44.84,53.04
1946,63.43,46.03,54.24
1947,62.24,45.5,53.18
1948,63.23,45,53.54
1949,65.13,47.35,55.55
1950,62.52,44.83,53.01
1951,63.83,45.24,54
1952,64.38,46.14,54.66
1953,66.33,46.66,55.82
1954,64.75,45.76,54.7
1955,63.61,45.71,54.08
1956,62.86,45.46,53.59
1957,63.82,46.12,54.42
1958,61.24,44.09,52.07
1959,65.96,46.6,55.52
1960,62.54,43.77,52.55
1961,63.37,44.58,53.35
1962,62.25,43.61,52.35
1963,63.63,42.55,52.44
1964,64.16,44.08,53.55
1965,63.44,44.03,53.06
1966,62.7,43.65,52.57
1967,62.28,43.29,52.33
1968,63.15,44.28,53.25
1969,62.93,44.61,53.33
1970,63.58,45.3,53.95
1971,63.06,45.08,53.69
1972,62.1,44.64,52.93
1973,63.94,46.3,54.64
1974,63.97,45.59,54.19
1975,63.69,45.97,54.24
1976,63.46,43.72,53.01
1977,64.54,45.74,54.65
1978,62.25,44.28,52.77
1979,61.79,44.17,53.03
1980,63.99,45.68,54.29
1981,62.87,45.03,53.6
1982,63.68,45.4,53.95
1983,63.35,45.52,53.83
1984,63.37,45.87,54.04
1985,64.91,46.33,55.08
1986,64.32,45.96,54.62
1987,64.77,46.45,55.1
1988,63.83,44.8,53.82
1989,62.77,45.41,53.59
1990,67.09,47.81,56.85
1991,67,47.71,56.73
1992,62.82,45.51,53.55
1993,63.84,45.66,54.25
1994,64.29,45.27,54.35
1995,63.7,46,54.5
1996,61.01,44.67,52.73
1997,62.72,45.05,53.58
1998,65.79,47.91,56.62
1999,65.24,46.38,55.44
2000,63.23,45.55,54.1
2001,65.11,46.28,55.41
2002,65.31,47.08,55.98
2003,61.62,44.86,52.98
2004,63.72,46.57,54.84
2005,64.55,46.87,55.24
2006,65.84,47.59,56.25
2007,65.06,47.1,55.74
2008,63.95,46.44,54.94
2009,63.45,46.39,54.51
2010,65.38,47.35,56.03
2011,65.54,47.83,56.25
2012,67.23,48.74,57.49
2013,64.01,46.74,54.89
2014,63.28,44.94,53.74
2015,65.27,47.21,55.85
2016,66.29,48.12,56.8
2017,66.28,48.49,56.97
2018,64.38,47.96,55.71
2019,66.28,48.12,56.83
2020,66.86,49.12,57.54
2021,67,48.79,57.57
2022,65.76,47.08,56.04
2023,68.38,48.91,58.25
2024,67.89,48.81,57.94
2025,65.67,47.19,56.01
2026,67.69,48.71,57.64
